session_id,session_date,coach_user_id,session_type,status,summary,action_items_json,next_session_date
COACH0102,2026-04-02,U_MDW10,AGP_COACHING,COMPLETED,Reviewed pipeline health and prioritized the two largest open opportunities; agreed on weekly follow-up cadence.,"[""Schedule CPA partner introduction"", ""Complete overdue lead follow-ups""]",2026-07-15
COACH0110,2026-06-11,U_MDW11,AGP_COACHING,COMPLETED,Discussed client engagement cadence for at-risk households; scheduled proactive outreach for the top five.,"[""Book annual reviews for five at-risk households"", ""Ask two satisfied clients for referrals""]",2026-07-15
COACH0111,2026-05-07,U_MDW11,AGP_COACHING,COMPLETED,Coached on managed-account positioning for top households; role-played the upgrade conversation.,"[""Complete overdue lead follow-ups"", ""Call top three open opportunities this week""]",2026-07-15
COACH0112,2026-04-02,U_MDW11,AGP_COACHING,COMPLETED,Session focused on referral sourcing from CPA partners; drafted an introduction plan for two centers of influence.,"[""Prepare NNM pacing plan for next milestone"", ""Schedule CPA partner introduction""]",2026-07-15
COACH0120,2026-06-11,U_MDW12,AGP_COACHING,COMPLETED,Reviewed overdue lead follow-ups; cleared blockers and committed to same-week first-touch on new leads.,"[""Update pipeline stages in CRM"", ""Schedule CPA partner introduction""]",2026-07-15
COACH0121,2026-05-07,U_MDW12,AGP_COACHING,COMPLETED,Analyzed revenue mix versus peers; built an action list to deepen fixed-income penetration.,"[""Update pipeline stages in CRM"", ""Schedule CPA partner introduction""]",2026-07-15
COACH0122,2026-04-02,U_MDW12,AGP_COACHING,COMPLETED,Discussed client engagement cadence for at-risk households; scheduled proactive outreach for the top five.,"[""Ask two satisfied clients for referrals"", ""Draft managed-account upgrade proposals""]",2026-07-15
COACH0130,2026-06-11,U_MDW01,AGP_COACHING,COMPLETED,Discussed client engagement cadence for at-risk households; scheduled proactive outreach for the top five.,"[""Book annual reviews for five at-risk households"", ""Call top three open opportunities this week""]",2026-07-15
COACH0131,2026-05-07,U_MDW01,AGP_COACHING,COMPLETED,Discussed client engagement cadence for at-risk households; scheduled proactive outreach for the top five.,"[""Update pipeline stages in CRM"", ""Complete overdue lead follow-ups""]",2026-07-15
COACH0132,2026-04-02,U_MDW01,AGP_COACHING,COMPLETED,Reviewed overdue lead follow-ups; cleared blockers and committed to same-week first-touch on new leads.,"[""Draft managed-account upgrade proposals"", ""Prepare NNM pacing plan for next milestone""]",2026-07-15
COACH0140,2026-06-11,U_MDW02,AGP_COACHING,COMPLETED,Reviewed pipeline health and prioritized the two largest open opportunities; agreed on weekly follow-up cadence.,"[""Call top three open opportunities this week"", ""Book annual reviews for five at-risk households""]",2026-07-15
COACH0141,2026-05-07,U_MDW02,AGP_COACHING,COMPLETED,Walked through AGP milestone attainment; identified referral conversion as the key gap and set a 30-day target.,"[""Update pipeline stages in CRM"", ""Draft managed-account upgrade proposals""]",2026-07-15
COACH0142,2026-04-02,U_MDW02,AGP_COACHING,COMPLETED,Reviewed pipeline health and prioritized the two largest open opportunities; agreed on weekly follow-up cadence.,"[""Complete overdue lead follow-ups"", ""Schedule CPA partner introduction""]",2026-07-15
COACH0150,2026-06-11,U_MDW03,AGP_COACHING,COMPLETED,Reviewed overdue lead follow-ups; cleared blockers and committed to same-week first-touch on new leads.,"[""Complete overdue lead follow-ups"", ""Prepare NNM pacing plan for next milestone""]",2026-07-15
COACH0151,2026-05-07,U_MDW03,AGP_COACHING,COMPLETED,Coached on managed-account positioning for top households; role-played the upgrade conversation.,"[""Prepare NNM pacing plan for next milestone"", ""Complete overdue lead follow-ups""]",2026-07-15
COACH0152,2026-04-02,U_MDW03,AGP_COACHING,COMPLETED,Reviewed overdue lead follow-ups; cleared blockers and committed to same-week first-touch on new leads.,"[""Draft managed-account upgrade proposals"", ""Ask two satisfied clients for referrals""]",2026-07-15
COACH0160,2026-06-11,U_MDW04,AGP_COACHING,COMPLETED,Walked through AGP milestone attainment; identified referral conversion as the key gap and set a 30-day target.,"[""Update pipeline stages in CRM"", ""Prepare NNM pacing plan for next milestone""]",2026-07-15
COACH0161,2026-05-07,U_MDW04,AGP_COACHING,COMPLETED,Reviewed KPI trends against milestone targets; flagged NNM pacing and agreed on a prospecting push.,"[""Prepare NNM pacing plan for next milestone"", ""Ask two satisfied clients for referrals""]",2026-07-15
COACH0162,2026-04-02,U_MDW04,AGP_COACHING,COMPLETED,Reviewed KPI trends against milestone targets; flagged NNM pacing and agreed on a prospecting push.,"[""Book annual reviews for five at-risk households"", ""Ask two satisfied clients for referrals""]",2026-07-15
COACH0170,2026-06-11,U_MDW05,AGP_COACHING,COMPLETED,Session focused on referral sourcing from CPA partners; drafted an introduction plan for two centers of influence.,"[""Update pipeline stages in CRM"", ""Prepare NNM pacing plan for next milestone""]",2026-07-15
COACH0171,2026-05-07,U_MDW05,AGP_COACHING,COMPLETED,Session focused on referral sourcing from CPA partners; drafted an introduction plan for two centers of influence.,"[""Prepare NNM pacing plan for next milestone"", ""Ask two satisfied clients for referrals""]",2026-07-15
COACH0172,2026-04-02,U_MDW05,AGP_COACHING,COMPLETED,Coached on managed-account positioning for top households; role-played the upgrade conversation.,"[""Draft managed-account upgrade proposals"", ""Call top three open opportunities this week""]",2026-07-15
COACH0180,2026-06-11,U_MDW06,AGP_COACHING,COMPLETED,Walked through AGP milestone attainment; identified referral conversion as the key gap and set a 30-day target.,"[""Update pipeline stages in CRM"", ""Call top three open opportunities this week""]",2026-07-15
COACH0181,2026-05-07,U_MDW06,AGP_COACHING,COMPLETED,Coached on managed-account positioning for top households; role-played the upgrade conversation.,"[""Schedule CPA partner introduction"", ""Call top three open opportunities this week""]",2026-07-15
COACH0182,2026-04-02,U_MDW06,AGP_COACHING,COMPLETED,Walked through AGP milestone attainment; identified referral conversion as the key gap and set a 30-day target.,"[""Call top three open opportunities this week"", ""Schedule CPA partner introduction""]",2026-07-15
COACH0190,2026-06-11,U_MDW07,AGP_COACHING,COMPLETED,Reviewed overdue lead follow-ups; cleared blockers and committed to same-week first-touch on new leads.,"[""Draft managed-account upgrade proposals"", ""Book annual reviews for five at-risk households""]",2026-07-15
COACH0191,2026-05-07,U_MDW07,AGP_COACHING,COMPLETED,Coached on managed-account positioning for top households; role-played the upgrade conversation.,"[""Book annual reviews for five at-risk households"", ""Update pipeline stages in CRM""]",2026-07-15
COACH0192,2026-04-02,U_MDW07,AGP_COACHING,COMPLETED,Discussed client engagement cadence for at-risk households; scheduled proactive outreach for the top five.,"[""Update pipeline stages in CRM"", ""Draft managed-account upgrade proposals""]",2026-07-15
COACH0200,2026-06-11,U_MDW08,AGP_COACHING,COMPLETED,Coached on managed-account positioning for top households; role-played the upgrade conversation.,"[""Draft managed-account upgrade proposals"", ""Call top three open opportunities this week""]",2026-07-15
COACH0201,2026-05-07,U_MDW08,AGP_COACHING,COMPLETED,Reviewed pipeline health and prioritized the two largest open opportunities; agreed on weekly follow-up cadence.,"[""Update pipeline stages in CRM"", ""Draft managed-account upgrade proposals""]",2026-07-15
COACH0202,2026-04-02,U_MDW08,AGP_COACHING,COMPLETED,Walked through AGP milestone attainment; identified referral conversion as the key gap and set a 30-day target.,"[""Ask two satisfied clients for referrals"", ""Draft managed-account upgrade proposals""]",2026-07-15
COACH0210,2026-06-11,U_MDW09,AGP_COACHING,COMPLETED,Analyzed revenue mix versus peers; built an action list to deepen fixed-income penetration.,"[""Update pipeline stages in CRM"", ""Ask two satisfied clients for referrals""]",2026-07-15
COACH0211,2026-05-07,U_MDW09,AGP_COACHING,COMPLETED,Reviewed KPI trends against milestone targets; flagged NNM pacing and agreed on a prospecting push.,"[""Ask two satisfied clients for referrals"", ""Complete overdue lead follow-ups""]",2026-07-15
COACH0212,2026-04-02,U_MDW09,AGP_COACHING,COMPLETED,Reviewed pipeline health and prioritized the two largest open opportunities; agreed on weekly follow-up cadence.,"[""Book annual reviews for five at-risk households"", ""Call top three open opportunities this week""]",2026-07-15
COACH0220,2026-06-11,U_MDW10,AGP_COACHING,COMPLETED,Session focused on referral sourcing from CPA partners; drafted an introduction plan for two centers of influence.,"[""Draft managed-account upgrade proposals"", ""Prepare NNM pacing plan for next milestone""]",2026-07-15
COACH0221,2026-05-07,U_MDW10,AGP_COACHING,COMPLETED,Analyzed revenue mix versus peers; built an action list to deepen fixed-income penetration.,"[""Schedule CPA partner introduction"", ""Ask two satisfied clients for referrals""]",2026-07-15
COACH0222,2026-04-02,U_MDW10,AGP_COACHING,COMPLETED,Reviewed pipeline health and prioritized the two largest open opportunities; agreed on weekly follow-up cadence.,"[""Complete overdue lead follow-ups"", ""Update pipeline stages in CRM""]",2026-07-15
COACH0230,2026-06-11,U_MDW11,AGP_COACHING,COMPLETED,Session focused on referral sourcing from CPA partners; drafted an introduction plan for two centers of influence.,"[""Complete overdue lead follow-ups"", ""Draft managed-account upgrade proposals""]",2026-07-15
COACH0231,2026-05-07,U_MDW11,AGP_COACHING,COMPLETED,Session focused on referral sourcing from CPA partners; drafted an introduction plan for two centers of influence.,"[""Ask two satisfied clients for referrals"", ""Complete overdue lead follow-ups""]",2026-07-15
COACH0232,2026-04-02,U_MDW11,AGP_COACHING,COMPLETED,Reviewed pipeline health and prioritized the two largest open opportunities; agreed on weekly follow-up cadence.,"[""Call top three open opportunities this week"", ""Schedule CPA partner introduction""]",2026-07-15
COACH0240,2026-06-11,U_MDW12,AGP_COACHING,COMPLETED,Analyzed revenue mix versus peers; built an action list to deepen fixed-income penetration.,"[""Prepare NNM pacing plan for next milestone"", ""Call top three open opportunities this week""]",2026-07-15
COACH0241,2026-05-07,U_MDW12,AGP_COACHING,COMPLETED,Reviewed pipeline health and prioritized the two largest open opportunities; agreed on weekly follow-up cadence.,"[""Update pipeline stages in CRM"", ""Book annual reviews for five at-risk households""]",2026-07-15
COACH0242,2026-04-02,U_MDW12,AGP_COACHING,COMPLETED,Discussed client engagement cadence for at-risk households; scheduled proactive outreach for the top five.,"[""Ask two satisfied clients for referrals"", ""Update pipeline stages in CRM""]",2026-07-15
