opportunity_id,opportunity_type,category,target_type,target_id,score,severity,estimated_revenue_impact,impact_summary,status,generated_at
OPP_AC_AC00010,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00010,76,URGENT,66300,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00011,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00011,87,CRITICAL,73725,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00012,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00012,32,INFO,36600,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00013,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00013,43,ATTENTION,44025,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00014,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00014,54,ATTENTION,51450,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00015,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00015,65,ATTENTION,58875,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00016,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00016,76,URGENT,66300,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00017,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00017,87,CRITICAL,73725,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00018,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00018,32,INFO,36600,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00019,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00019,43,ATTENTION,44025,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00020,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00020,54,ATTENTION,51450,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00021,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00021,65,ATTENTION,58875,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00022,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00022,76,URGENT,66300,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00023,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00023,87,CRITICAL,73725,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00024,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00024,32,INFO,36600,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00025,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00025,43,ATTENTION,44025,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00026,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00026,54,ATTENTION,51450,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00027,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00027,65,ATTENTION,58875,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00028,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00028,76,URGENT,66300,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00029,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00029,87,CRITICAL,73725,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
OPP_AC_AC00030,PORTFOLIO_OPTIMIZATION,PRODUCT_MIX,ACCOUNT,AC00030,32,INFO,36600,Potential value from resolving the detected relationship or portfolio gap.,OPEN,2026-07-01
