recommendation_id,recommendation_type,title,action_text,priority_score,severity,confidence,estimated_revenue_impact,impact_summary,status,due_date,generated_at
REC_A024,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",42.8,ATTENTION,0.75,59060.0,Improves milestone attainment and protects revenue pipeline.,REJECTED,2026-07-18,2026-07-01
REC_A025,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",38.4,INFO,0.76,56505.0,Improves milestone attainment and protects revenue pipeline.,PRESENTED,2026-07-19,2026-07-01
REC_A026,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",48.2,ATTENTION,0.77,63890.0,Improves milestone attainment and protects revenue pipeline.,ACCEPTED,2026-07-20,2026-07-01
REC_A027,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",34.0,INFO,0.78,54475.0,Improves milestone attainment and protects revenue pipeline.,IN_PROGRESS,2026-07-21,2026-07-01
REC_A028,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",43.8,ATTENTION,0.79,61860.0,Improves milestone attainment and protects revenue pipeline.,COMPLETED,2026-07-08,2026-07-01
REC_A029,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",53.6,ATTENTION,0.8,69245.0,Improves milestone attainment and protects revenue pipeline.,REJECTED,2026-07-09,2026-07-01
REC_A030,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",39.4,INFO,0.81,59830.0,Improves milestone attainment and protects revenue pipeline.,PRESENTED,2026-07-10,2026-07-01
REC_A031,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",49.2,ATTENTION,0.82,67215.0,Improves milestone attainment and protects revenue pipeline.,ACCEPTED,2026-07-11,2026-07-01
REC_A032,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",35.0,INFO,0.83,57800.0,Improves milestone attainment and protects revenue pipeline.,IN_PROGRESS,2026-07-12,2026-07-01
REC_A033,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",44.8,ATTENTION,0.84,65185.0,Improves milestone attainment and protects revenue pipeline.,COMPLETED,2026-07-13,2026-07-01
REC_A034,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",54.6,ATTENTION,0.85,72570.0,Improves milestone attainment and protects revenue pipeline.,REJECTED,2026-07-14,2026-07-01
REC_A035,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",40.4,ATTENTION,0.86,63155.0,Improves milestone attainment and protects revenue pipeline.,PRESENTED,2026-07-15,2026-07-01
REC_A036,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",50.2,ATTENTION,0.75,70540.0,Improves milestone attainment and protects revenue pipeline.,ACCEPTED,2026-07-16,2026-07-01
REC_A037,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",60.0,ATTENTION,0.76,77925.0,Improves milestone attainment and protects revenue pipeline.,IN_PROGRESS,2026-07-17,2026-07-01
REC_A038,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",45.8,ATTENTION,0.77,68510.0,Improves milestone attainment and protects revenue pipeline.,COMPLETED,2026-07-18,2026-07-01
REC_A039,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",55.6,ATTENTION,0.78,75895.0,Improves milestone attainment and protects revenue pipeline.,REJECTED,2026-07-19,2026-07-01
REC_A040,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",25.4,INFO,0.79,55280.0,Improves milestone attainment and protects revenue pipeline.,PRESENTED,2026-07-20,2026-07-01
REC_A041,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",35.2,INFO,0.8,62665.0,Improves milestone attainment and protects revenue pipeline.,ACCEPTED,2026-07-21,2026-07-01
REC_A042,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",45.0,ATTENTION,0.81,70050.0,Improves milestone attainment and protects revenue pipeline.,IN_PROGRESS,2026-07-08,2026-07-01
REC_A043,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",30.8,INFO,0.82,60635.0,Improves milestone attainment and protects revenue pipeline.,COMPLETED,2026-07-09,2026-07-01
REC_A044,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",40.6,ATTENTION,0.83,68020.0,Improves milestone attainment and protects revenue pipeline.,REJECTED,2026-07-10,2026-07-01
REC_A045,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",50.4,ATTENTION,0.84,75405.0,Improves milestone attainment and protects revenue pipeline.,PRESENTED,2026-07-11,2026-07-01
REC_A046,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",36.2,INFO,0.85,65990.0,Improves milestone attainment and protects revenue pipeline.,ACCEPTED,2026-07-12,2026-07-01
REC_A047,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",46.0,ATTENTION,0.86,73375.0,Improves milestone attainment and protects revenue pipeline.,IN_PROGRESS,2026-07-13,2026-07-01
REC_A048,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",31.8,INFO,0.75,63960.0,Improves milestone attainment and protects revenue pipeline.,COMPLETED,2026-07-14,2026-07-01
REC_A049,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",41.6,ATTENTION,0.76,71345.0,Improves milestone attainment and protects revenue pipeline.,REJECTED,2026-07-15,2026-07-01
REC_A050,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",51.4,ATTENTION,0.77,78730.0,Improves milestone attainment and protects revenue pipeline.,PRESENTED,2026-07-16,2026-07-01
REC_A051,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",37.2,INFO,0.78,69315.0,Improves milestone attainment and protects revenue pipeline.,ACCEPTED,2026-07-17,2026-07-01
REC_A052,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",47.0,ATTENTION,0.79,76700.0,Improves milestone attainment and protects revenue pipeline.,IN_PROGRESS,2026-07-18,2026-07-01
REC_A053,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",56.8,ATTENTION,0.8,84085.0,Improves milestone attainment and protects revenue pipeline.,COMPLETED,2026-07-19,2026-07-01
REC_A054,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",42.6,ATTENTION,0.81,74670.0,Improves milestone attainment and protects revenue pipeline.,REJECTED,2026-07-20,2026-07-01
REC_A055,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",52.4,ATTENTION,0.82,82055.0,Improves milestone attainment and protects revenue pipeline.,PRESENTED,2026-07-21,2026-07-01
REC_A056,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",38.2,INFO,0.83,72640.0,Improves milestone attainment and protects revenue pipeline.,ACCEPTED,2026-07-08,2026-07-01
REC_A057,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",48.0,ATTENTION,0.84,80025.0,Improves milestone attainment and protects revenue pipeline.,IN_PROGRESS,2026-07-09,2026-07-01
REC_A058,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",57.8,ATTENTION,0.85,87410.0,Improves milestone attainment and protects revenue pipeline.,COMPLETED,2026-07-10,2026-07-01
REC_A059,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",43.6,ATTENTION,0.86,77995.0,Improves milestone attainment and protects revenue pipeline.,REJECTED,2026-07-11,2026-07-01
REC_A060,NEXT_BEST_ACTION,Prioritize high-value CRM follow-up,"Review pending leads and referrals, advance the highest-value CRM opportunity, and schedule a coaching check-in.",37.4,INFO,0.75,74180.0,Improves milestone attainment and protects revenue pipeline.,PRESENTED,2026-07-12,2026-07-01
REC_HH_H0001,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",43,ATTENTION,0.75,44025,"Addresses a versioned, explainable opportunity identified from connected graph data.",ACCEPTED,2026-07-09,2026-07-01
REC_HH_H0002,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",54,ATTENTION,0.76,51450,"Addresses a versioned, explainable opportunity identified from connected graph data.",IN_PROGRESS,2026-07-10,2026-07-01
REC_HH_H0003,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",65,ATTENTION,0.77,58875,"Addresses a versioned, explainable opportunity identified from connected graph data.",COMPLETED,2026-07-11,2026-07-01
REC_HH_H0004,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",76,URGENT,0.78,66300,"Addresses a versioned, explainable opportunity identified from connected graph data.",REJECTED,2026-07-12,2026-07-01
REC_HH_H0005,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",87,CRITICAL,0.79,73725,"Addresses a versioned, explainable opportunity identified from connected graph data.",PRESENTED,2026-07-13,2026-07-01
REC_HH_H0006,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",32,INFO,0.8,36600,"Addresses a versioned, explainable opportunity identified from connected graph data.",ACCEPTED,2026-07-14,2026-07-01
REC_HH_H0007,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",43,ATTENTION,0.81,44025,"Addresses a versioned, explainable opportunity identified from connected graph data.",IN_PROGRESS,2026-07-15,2026-07-01
REC_HH_H0008,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",54,ATTENTION,0.82,51450,"Addresses a versioned, explainable opportunity identified from connected graph data.",COMPLETED,2026-07-16,2026-07-01
REC_HH_H0009,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",65,ATTENTION,0.83,58875,"Addresses a versioned, explainable opportunity identified from connected graph data.",REJECTED,2026-07-17,2026-07-01
REC_HH_H0010,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",76,URGENT,0.84,66300,"Addresses a versioned, explainable opportunity identified from connected graph data.",PRESENTED,2026-07-18,2026-07-01
REC_HH_H0011,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",87,CRITICAL,0.85,73725,"Addresses a versioned, explainable opportunity identified from connected graph data.",ACCEPTED,2026-07-19,2026-07-01
REC_HH_H0012,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",32,INFO,0.86,36600,"Addresses a versioned, explainable opportunity identified from connected graph data.",IN_PROGRESS,2026-07-20,2026-07-01
REC_HH_H0013,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",43,ATTENTION,0.87,44025,"Addresses a versioned, explainable opportunity identified from connected graph data.",COMPLETED,2026-07-21,2026-07-01
REC_HH_H0014,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",54,ATTENTION,0.88,51450,"Addresses a versioned, explainable opportunity identified from connected graph data.",REJECTED,2026-07-22,2026-07-01
REC_HH_H0015,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",65,ATTENTION,0.74,58875,"Addresses a versioned, explainable opportunity identified from connected graph data.",PRESENTED,2026-07-23,2026-07-01
REC_HH_H0016,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",76,URGENT,0.75,66300,"Addresses a versioned, explainable opportunity identified from connected graph data.",ACCEPTED,2026-07-24,2026-07-01
REC_HH_H0017,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",87,CRITICAL,0.76,73725,"Addresses a versioned, explainable opportunity identified from connected graph data.",IN_PROGRESS,2026-07-25,2026-07-01
REC_HH_H0018,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",32,INFO,0.77,36600,"Addresses a versioned, explainable opportunity identified from connected graph data.",COMPLETED,2026-07-26,2026-07-01
REC_HH_H0019,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",43,ATTENTION,0.78,44025,"Addresses a versioned, explainable opportunity identified from connected graph data.",REJECTED,2026-07-27,2026-07-01
REC_HH_H0020,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",54,ATTENTION,0.79,51450,"Addresses a versioned, explainable opportunity identified from connected graph data.",PRESENTED,2026-07-08,2026-07-01
REC_HH_H0021,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",65,ATTENTION,0.8,58875,"Addresses a versioned, explainable opportunity identified from connected graph data.",ACCEPTED,2026-07-09,2026-07-01
REC_HH_H0022,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",76,URGENT,0.81,66300,"Addresses a versioned, explainable opportunity identified from connected graph data.",IN_PROGRESS,2026-07-10,2026-07-01
REC_HH_H0023,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",87,CRITICAL,0.82,73725,"Addresses a versioned, explainable opportunity identified from connected graph data.",COMPLETED,2026-07-11,2026-07-01
REC_HH_H0024,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",32,INFO,0.83,36600,"Addresses a versioned, explainable opportunity identified from connected graph data.",REJECTED,2026-07-12,2026-07-01
REC_HH_H0025,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",43,ATTENTION,0.84,44025,"Addresses a versioned, explainable opportunity identified from connected graph data.",PRESENTED,2026-07-13,2026-07-01
REC_HH_H0026,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",54,ATTENTION,0.85,51450,"Addresses a versioned, explainable opportunity identified from connected graph data.",ACCEPTED,2026-07-14,2026-07-01
REC_HH_H0027,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",65,ATTENTION,0.86,58875,"Addresses a versioned, explainable opportunity identified from connected graph data.",IN_PROGRESS,2026-07-15,2026-07-01
REC_HH_H0028,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",76,URGENT,0.87,66300,"Addresses a versioned, explainable opportunity identified from connected graph data.",COMPLETED,2026-07-16,2026-07-01
REC_HH_H0029,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",87,CRITICAL,0.88,73725,"Addresses a versioned, explainable opportunity identified from connected graph data.",REJECTED,2026-07-17,2026-07-01
REC_HH_H0030,NEXT_BEST_ACTION,Review relationship growth opportunity,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",32,INFO,0.74,36600,"Addresses a versioned, explainable opportunity identified from connected graph data.",PRESENTED,2026-07-18,2026-07-01
REC_AC_AC00001,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",43,ATTENTION,0.75,44025,"Addresses a versioned, explainable opportunity identified from connected graph data.",ACCEPTED,2026-07-09,2026-07-01
REC_AC_AC00002,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",54,ATTENTION,0.76,51450,"Addresses a versioned, explainable opportunity identified from connected graph data.",IN_PROGRESS,2026-07-10,2026-07-01
REC_AC_AC00003,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",65,ATTENTION,0.77,58875,"Addresses a versioned, explainable opportunity identified from connected graph data.",COMPLETED,2026-07-11,2026-07-01
REC_AC_AC00004,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",76,URGENT,0.78,66300,"Addresses a versioned, explainable opportunity identified from connected graph data.",REJECTED,2026-07-12,2026-07-01
REC_AC_AC00005,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",87,CRITICAL,0.79,73725,"Addresses a versioned, explainable opportunity identified from connected graph data.",PRESENTED,2026-07-13,2026-07-01
REC_AC_AC00006,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",32,INFO,0.8,36600,"Addresses a versioned, explainable opportunity identified from connected graph data.",ACCEPTED,2026-07-14,2026-07-01
REC_AC_AC00007,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",43,ATTENTION,0.81,44025,"Addresses a versioned, explainable opportunity identified from connected graph data.",IN_PROGRESS,2026-07-15,2026-07-01
REC_AC_AC00008,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",54,ATTENTION,0.82,51450,"Addresses a versioned, explainable opportunity identified from connected graph data.",COMPLETED,2026-07-16,2026-07-01
REC_AC_AC00009,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",65,ATTENTION,0.83,58875,"Addresses a versioned, explainable opportunity identified from connected graph data.",REJECTED,2026-07-17,2026-07-01
REC_AC_AC00010,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",76,URGENT,0.84,66300,"Addresses a versioned, explainable opportunity identified from connected graph data.",PRESENTED,2026-07-18,2026-07-01
REC_AC_AC00011,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",87,CRITICAL,0.85,73725,"Addresses a versioned, explainable opportunity identified from connected graph data.",ACCEPTED,2026-07-19,2026-07-01
REC_AC_AC00012,NEXT_BEST_ACTION,Review account concentration and product fit,"Review supporting graph facts, confirm eligibility, and complete the recommended client follow-up.",32,INFO,0.86,36600,"Addresses a versioned, explainable opportunity identified from connected graph data.",IN_PROGRESS,2026-07-20,2026-07-01
