conversation_turn_id,conversation_id,turn_ts,user_question,assistant_answer,persona,scope_type,scope_id,status,memory_id
CONVTURN00000049,CONV000010,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0031,Active,MEM00000605
CONVTURN00000050,CONV000010,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0075,Active,MEM00000032
CONVTURN00000051,CONV000011,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0134,Active,MEM00000426
CONVTURN00000052,CONV000011,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0119,Active,MEM00000105
CONVTURN00000053,CONV000011,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0011,Active,MEM00000511
CONVTURN00000054,CONV000011,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0051,Active,MEM00000318
CONVTURN00000055,CONV000011,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0095,Active,MEM00000670
CONVTURN00000056,CONV000012,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0106,Active,MEM00000234
CONVTURN00000057,CONV000012,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0032,Active,MEM00000352
CONVTURN00000058,CONV000012,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0061,Active,MEM00000378
CONVTURN00000059,CONV000012,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0101,Active,MEM00000599
CONVTURN00000060,CONV000012,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0048,Active,MEM00000375
CONVTURN00000061,CONV000013,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0102,Active,MEM00000077
CONVTURN00000062,CONV000013,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0052,Active,MEM00000075
CONVTURN00000063,CONV000013,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0156,Active,MEM00000263
CONVTURN00000064,CONV000013,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0084,Active,MEM00000386
CONVTURN00000065,CONV000013,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0135,Active,MEM00000285
CONVTURN00000066,CONV000014,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0124,Active,MEM00000395
CONVTURN00000067,CONV000014,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0069,Active,MEM00000234
CONVTURN00000068,CONV000014,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0109,Active,MEM00000341
CONVTURN00000069,CONV000014,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0137,Active,MEM00000246
CONVTURN00000070,CONV000014,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0052,Active,MEM00000351
CONVTURN00000071,CONV000015,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0104,Active,MEM00000198
CONVTURN00000072,CONV000015,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0001,Active,MEM00000316
CONVTURN00000073,CONV000015,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0011,Active,MEM00000471
CONVTURN00000074,CONV000015,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0053,Active,MEM00000217
CONVTURN00000075,CONV000015,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0036,Active,MEM00000280
CONVTURN00000076,CONV000016,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0034,Active,MEM00000503
CONVTURN00000077,CONV000016,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0005,Active,MEM00000309
CONVTURN00000078,CONV000016,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0042,Active,MEM00000612
CONVTURN00000079,CONV000016,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0017,Active,MEM00000453
CONVTURN00000080,CONV000016,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0078,Active,MEM00000443
CONVTURN00000081,CONV000017,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0100,Active,MEM00000421
CONVTURN00000082,CONV000017,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0078,Active,MEM00000394
CONVTURN00000083,CONV000017,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0164,Active,MEM00000511
CONVTURN00000084,CONV000017,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0098,Active,MEM00000604
CONVTURN00000085,CONV000017,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0087,Active,MEM00000281
CONVTURN00000086,CONV000018,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0084,Active,MEM00000137
CONVTURN00000087,CONV000018,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0060,Active,MEM00000365
CONVTURN00000088,CONV000018,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0010,Active,MEM00000568
CONVTURN00000089,CONV000018,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0057,Active,MEM00000321
CONVTURN00000090,CONV000018,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0038,Active,MEM00000086
CONVTURN00000091,CONV000019,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0101,Active,MEM00000613
CONVTURN00000092,CONV000019,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0150,Active,MEM00000505
CONVTURN00000093,CONV000019,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0036,Active,MEM00000511
CONVTURN00000094,CONV000019,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0023,Active,MEM00000455
CONVTURN00000095,CONV000019,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0128,Active,MEM00000130
CONVTURN00000096,CONV000020,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0047,Active,MEM00000626
CONVTURN00000097,CONV000020,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0064,Active,MEM00000136
CONVTURN00000098,CONV000020,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0119,Active,MEM00000390
CONVTURN00000099,CONV000020,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0039,Active,MEM00000466
CONVTURN00000100,CONV000020,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0160,Active,MEM00000347
CONVTURN00000101,CONV000021,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0139,Active,MEM00000655
CONVTURN00000102,CONV000021,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0165,Active,MEM00000075
CONVTURN00000103,CONV000021,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0135,Active,MEM00000565
CONVTURN00000104,CONV000021,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0101,Active,MEM00000247
CONVTURN00000105,CONV000021,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0025,Active,MEM00000089
CONVTURN00000106,CONV000022,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0124,Active,MEM00000047
CONVTURN00000107,CONV000022,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0026,Active,MEM00000266
CONVTURN00000108,CONV000022,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0160,Active,MEM00000486
CONVTURN00000109,CONV000022,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0066,Active,MEM00000358
CONVTURN00000110,CONV000022,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0065,Active,MEM00000657
CONVTURN00000111,CONV000023,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0011,Active,MEM00000240
CONVTURN00000112,CONV000023,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0165,Active,MEM00000461
CONVTURN00000113,CONV000023,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0116,Active,MEM00000434
CONVTURN00000114,CONV000023,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0134,Active,MEM00000064
CONVTURN00000115,CONV000023,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0050,Active,MEM00000170
CONVTURN00000116,CONV000024,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0027,Active,MEM00000055
CONVTURN00000117,CONV000024,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0009,Active,MEM00000596
CONVTURN00000118,CONV000024,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0008,Active,MEM00000310
CONVTURN00000119,CONV000024,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0135,Active,MEM00000042
CONVTURN00000120,CONV000024,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0001,Active,MEM00000533
CONVTURN00000121,CONV000025,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0126,Active,MEM00000141
CONVTURN00000122,CONV000025,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0025,Active,MEM00000225
CONVTURN00000123,CONV000025,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0128,Active,MEM00000146
CONVTURN00000124,CONV000025,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0090,Active,MEM00000651
CONVTURN00000125,CONV000025,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0023,Active,MEM00000477
CONVTURN00000126,CONV000026,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0059,Active,MEM00000588
CONVTURN00000127,CONV000026,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0036,Active,MEM00000515
CONVTURN00000128,CONV000026,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0036,Active,MEM00000355
CONVTURN00000129,CONV000026,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0026,Active,MEM00000646
CONVTURN00000130,CONV000026,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0155,Active,MEM00000582
CONVTURN00000131,CONV000027,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0091,Active,MEM00000282
CONVTURN00000132,CONV000027,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0151,Active,MEM00000228
CONVTURN00000133,CONV000027,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0006,Active,MEM00000656
CONVTURN00000134,CONV000027,2025-12-31 00:00:00,Am I on track for AGP?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0076,Active,MEM00000247
CONVTURN00000135,CONV000027,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0026,Active,MEM00000505
CONVTURN00000136,CONV000028,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0066,Active,MEM00000167
CONVTURN00000137,CONV000028,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0104,Active,MEM00000303
CONVTURN00000138,CONV000028,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0111,Active,MEM00000486
CONVTURN00000139,CONV000028,2025-12-31 00:00:00,Which clients are at risk?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0113,Active,MEM00000631
CONVTURN00000140,CONV000028,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0010,Active,MEM00000248
CONVTURN00000141,CONV000029,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",MDW,Advisor,ADV0144,Active,MEM00000218
CONVTURN00000142,CONV000029,2025-12-31 00:00:00,Why is revenue down?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",DDW,Advisor,ADV0064,Active,MEM00000560
CONVTURN00000143,CONV000029,2025-12-31 00:00:00,What should I do next?,"Demo answer grounded in TigerGraph, memory, predictions, recommendations and documents.",Advisor,Advisor,ADV0105,Active,MEM00000062
