trace_id,trace_type,conclusion,confidence,reasoning_steps_json,evidence_json,created_ts,status,recommendation_id,prediction_id,opportunity_id,memory_id
TRACE00000023,Recommendation,Generated conclusion with supporting evidence.,0.83,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000140,PRED00000208,OPP00000255,MEM00000643
TRACE00000024,Recommendation,Generated conclusion with supporting evidence.,0.6931,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000179,PRED00000173,OPP00000145,MEM00000616
TRACE00000025,Opportunity,Generated conclusion with supporting evidence.,0.7015,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000266,PRED00000155,OPP00000003,MEM00000356
TRACE00000026,Recommendation,Generated conclusion with supporting evidence.,0.8113,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000061,PRED00000009,OPP00000430,MEM00000654
TRACE00000027,Recommendation,Generated conclusion with supporting evidence.,0.7964,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000387,PRED00000385,OPP00000423,MEM00000203
TRACE00000028,Opportunity,Generated conclusion with supporting evidence.,0.917,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000386,PRED00000118,OPP00000178,MEM00000611
TRACE00000029,Recommendation,Generated conclusion with supporting evidence.,0.9453,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000173,PRED00000670,OPP00000323,MEM00000626
TRACE00000030,Insight,Generated conclusion with supporting evidence.,0.8687,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000284,PRED00000382,OPP00000162,MEM00000153
TRACE00000031,Insight,Generated conclusion with supporting evidence.,0.8719,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000135,PRED00000106,OPP00000120,MEM00000648
TRACE00000032,Opportunity,Generated conclusion with supporting evidence.,0.8777,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000250,PRED00000052,OPP00000116,MEM00000528
TRACE00000033,Prediction,Generated conclusion with supporting evidence.,0.7015,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000045,PRED00000590,OPP00000211,MEM00000577
TRACE00000034,Insight,Generated conclusion with supporting evidence.,0.8862,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000387,PRED00000569,OPP00000210,MEM00000106
TRACE00000035,Prediction,Generated conclusion with supporting evidence.,0.8028,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000447,PRED00000581,OPP00000397,MEM00000392
TRACE00000036,Recommendation,Generated conclusion with supporting evidence.,0.9414,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000414,PRED00000645,OPP00000478,MEM00000208
TRACE00000037,Opportunity,Generated conclusion with supporting evidence.,0.7899,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000489,PRED00000149,OPP00000278,MEM00000458
TRACE00000038,Insight,Generated conclusion with supporting evidence.,0.8746,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000272,PRED00000535,OPP00000048,MEM00000487
TRACE00000039,Opportunity,Generated conclusion with supporting evidence.,0.783,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000351,PRED00000316,OPP00000340,MEM00000549
TRACE00000040,Opportunity,Generated conclusion with supporting evidence.,0.949,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000187,PRED00000272,OPP00000456,MEM00000460
TRACE00000041,Recommendation,Generated conclusion with supporting evidence.,0.8357,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000023,PRED00000008,OPP00000353,MEM00000672
TRACE00000042,Insight,Generated conclusion with supporting evidence.,0.9311,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000174,PRED00000016,OPP00000466,MEM00000097
TRACE00000043,Recommendation,Generated conclusion with supporting evidence.,0.8425,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000153,PRED00000031,OPP00000089,MEM00000598
TRACE00000044,Recommendation,Generated conclusion with supporting evidence.,0.9214,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000223,PRED00000249,OPP00000050,MEM00000188
TRACE00000045,Insight,Generated conclusion with supporting evidence.,0.933,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000475,PRED00000627,OPP00000164,MEM00000306
TRACE00000046,Opportunity,Generated conclusion with supporting evidence.,0.9384,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000100,PRED00000107,OPP00000481,MEM00000555
TRACE00000047,Insight,Generated conclusion with supporting evidence.,0.8235,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000479,PRED00000645,OPP00000359,MEM00000498
TRACE00000048,Prediction,Generated conclusion with supporting evidence.,0.7525,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000134,PRED00000590,OPP00000151,MEM00000318
TRACE00000049,Recommendation,Generated conclusion with supporting evidence.,0.7617,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000142,PRED00000002,OPP00000430,MEM00000355
TRACE00000050,Opportunity,Generated conclusion with supporting evidence.,0.6762,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000356,PRED00000638,OPP00000141,MEM00000001
TRACE00000051,Opportunity,Generated conclusion with supporting evidence.,0.9237,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000022,PRED00000084,OPP00000456,MEM00000356
TRACE00000052,Insight,Generated conclusion with supporting evidence.,0.9147,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000084,PRED00000226,OPP00000393,MEM00000412
TRACE00000053,Insight,Generated conclusion with supporting evidence.,0.6543,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000445,PRED00000352,OPP00000030,MEM00000569
TRACE00000054,Opportunity,Generated conclusion with supporting evidence.,0.7801,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000118,PRED00000596,OPP00000474,MEM00000605
TRACE00000055,Prediction,Generated conclusion with supporting evidence.,0.7595,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000101,PRED00000413,OPP00000226,MEM00000059
TRACE00000056,Insight,Generated conclusion with supporting evidence.,0.8859,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000465,PRED00000355,OPP00000419,MEM00000592
TRACE00000057,Recommendation,Generated conclusion with supporting evidence.,0.6628,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000258,PRED00000491,OPP00000255,MEM00000013
TRACE00000058,Recommendation,Generated conclusion with supporting evidence.,0.7117,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000367,PRED00000253,OPP00000423,MEM00000054
TRACE00000059,Prediction,Generated conclusion with supporting evidence.,0.6679,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000436,PRED00000344,OPP00000147,MEM00000155
TRACE00000060,Opportunity,Generated conclusion with supporting evidence.,0.7655,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000468,PRED00000492,OPP00000275,MEM00000086
TRACE00000061,Opportunity,Generated conclusion with supporting evidence.,0.9282,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000450,PRED00000640,OPP00000242,MEM00000610
TRACE00000062,Recommendation,Generated conclusion with supporting evidence.,0.7809,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000372,PRED00000541,OPP00000028,MEM00000661
TRACE00000063,Recommendation,Generated conclusion with supporting evidence.,0.8638,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000097,PRED00000597,OPP00000502,MEM00000557
TRACE00000064,Prediction,Generated conclusion with supporting evidence.,0.775,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000265,PRED00000142,OPP00000141,MEM00000552
TRACE00000065,Insight,Generated conclusion with supporting evidence.,0.9321,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000500,PRED00000479,OPP00000464,MEM00000325
TRACE00000066,Opportunity,Generated conclusion with supporting evidence.,0.8222,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000291,PRED00000156,OPP00000153,MEM00000268
TRACE00000067,Opportunity,Generated conclusion with supporting evidence.,0.6799,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000186,PRED00000579,OPP00000163,MEM00000146
TRACE00000068,Prediction,Generated conclusion with supporting evidence.,0.8076,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000213,PRED00000064,OPP00000133,MEM00000507
TRACE00000069,Insight,Generated conclusion with supporting evidence.,0.8506,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000349,PRED00000366,OPP00000336,MEM00000472
TRACE00000070,Insight,Generated conclusion with supporting evidence.,0.8574,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000460,PRED00000591,OPP00000204,MEM00000267
TRACE00000071,Opportunity,Generated conclusion with supporting evidence.,0.8152,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000064,PRED00000022,OPP00000342,MEM00000088
TRACE00000072,Prediction,Generated conclusion with supporting evidence.,0.6835,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000321,PRED00000372,OPP00000501,MEM00000309
TRACE00000073,Prediction,Generated conclusion with supporting evidence.,0.8446,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000054,PRED00000350,OPP00000292,MEM00000216
TRACE00000074,Opportunity,Generated conclusion with supporting evidence.,0.86,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000230,PRED00000024,OPP00000290,MEM00000066
TRACE00000075,Prediction,Generated conclusion with supporting evidence.,0.7671,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000145,PRED00000106,OPP00000112,MEM00000670
TRACE00000076,Opportunity,Generated conclusion with supporting evidence.,0.8241,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000053,PRED00000467,OPP00000338,MEM00000392
TRACE00000077,Recommendation,Generated conclusion with supporting evidence.,0.8684,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000323,PRED00000217,OPP00000326,MEM00000045
TRACE00000078,Insight,Generated conclusion with supporting evidence.,0.9143,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000390,PRED00000020,OPP00000446,MEM00000575
TRACE00000079,Recommendation,Generated conclusion with supporting evidence.,0.6984,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000362,PRED00000226,OPP00000035,MEM00000191
TRACE00000080,Prediction,Generated conclusion with supporting evidence.,0.8695,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000495,PRED00000352,OPP00000386,MEM00000230
TRACE00000081,Insight,Generated conclusion with supporting evidence.,0.9392,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000436,PRED00000102,OPP00000477,MEM00000497
TRACE00000082,Opportunity,Generated conclusion with supporting evidence.,0.9176,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000190,PRED00000521,OPP00000194,MEM00000142
TRACE00000083,Prediction,Generated conclusion with supporting evidence.,0.8155,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000336,PRED00000450,OPP00000005,MEM00000413
TRACE00000084,Prediction,Generated conclusion with supporting evidence.,0.677,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000018,PRED00000178,OPP00000462,MEM00000362
TRACE00000085,Insight,Generated conclusion with supporting evidence.,0.7967,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000157,PRED00000568,OPP00000266,MEM00000606
TRACE00000086,Opportunity,Generated conclusion with supporting evidence.,0.9096,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000441,PRED00000307,OPP00000431,MEM00000143
TRACE00000087,Prediction,Generated conclusion with supporting evidence.,0.8085,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000186,PRED00000302,OPP00000119,MEM00000092
TRACE00000088,Insight,Generated conclusion with supporting evidence.,0.8011,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000358,PRED00000288,OPP00000020,MEM00000015
TRACE00000089,Recommendation,Generated conclusion with supporting evidence.,0.892,"[""Retrieve graph context"", ""Compute features"", ""Compare peers"", ""Apply playbook""]","[""Revenue trend"", ""CRM activity"", ""NNM"", ""AGP KPI""]",2025-12-31 00:00:00,Active,REC00000115,PRED00000437,OPP00000358,MEM00000074
