activity_id,activity_type,activity_date,subject,notes_summary,outcome,next_step,status,advisor_id,household_id,account_id
CRM00000026,Call,2024-03-10 00:00:00,Call with HH00018,Reviewed retirement income needs and cash balance.,Scheduled Follow-up,Discuss with manager,Active,ADV0001,HH00018,ACCT000054
CRM00000027,Email,2023-06-26 00:00:00,Email with HH00006,Prospecting activity for new household acquisition.,Not Interested,Create opportunity,Active,ADV0001,HH00006,ACCT000016
CRM00000028,Email,2024-05-03 00:00:00,Email with HH00018,Reviewed retirement income needs and cash balance.,Not Interested,Create opportunity,Active,ADV0001,HH00018,ACCT000053
CRM00000029,Email,2023-02-07 00:00:00,Email with HH00001,Follow-up required on fixed income allocation.,Not Interested,Send material,Active,ADV0001,HH00001,ACCT000002
CRM00000030,Follow-up,2025-12-18 00:00:00,Follow-up with HH00016,Prospecting activity for new household acquisition.,No Response,Schedule review,Active,ADV0001,HH00016,ACCT000044
CRM00000031,Client Review,2024-03-07 00:00:00,Client Review with HH00011,No recent engagement; requires proactive outreach.,Completed,No action,Active,ADV0001,HH00011,ACCT000030
CRM00000032,Call,2024-07-21 00:00:00,Call with HH00018,Follow-up required on fixed income allocation.,Scheduled Follow-up,Create opportunity,Active,ADV0001,HH00018,ACCT000054
CRM00000033,Email,2025-05-09 00:00:00,Email with HH00016,Discussed managed account review and client goals.,Scheduled Follow-up,Send material,Active,ADV0001,HH00016,ACCT000047
CRM00000034,Email,2025-04-08 00:00:00,Email with HH00010,Client expressed interest in tax-aware investment approach.,Completed,Create opportunity,Active,ADV0001,HH00010,ACCT000026
CRM00000035,Note,2025-12-14 00:00:00,Note with HH00001,Discussed managed account review and client goals.,Scheduled Follow-up,Discuss with manager,Active,ADV0001,HH00001,ACCT000001
CRM00000036,Call,2024-02-19 00:00:00,Call with HH00006,Reviewed retirement income needs and cash balance.,Completed,Discuss with manager,Active,ADV0001,HH00006,ACCT000016
CRM00000037,Call,2023-11-10 00:00:00,Call with HH00016,Discussed managed account review and client goals.,Not Interested,No action,Active,ADV0001,HH00016,ACCT000046
CRM00000038,Note,2025-09-13 00:00:00,Note with HH00012,No recent engagement; requires proactive outreach.,Interested,Discuss with manager,Active,ADV0001,HH00012,ACCT000032
CRM00000039,Note,2025-02-19 00:00:00,Note with HH00014,Follow-up required on fixed income allocation.,Interested,No action,Active,ADV0001,HH00014,ACCT000037
CRM00000040,Prospecting,2024-02-25 00:00:00,Prospecting with HH00002,Discussed managed account review and client goals.,Not Interested,Create opportunity,Active,ADV0001,HH00002,ACCT000004
CRM00000041,Client Review,2023-03-24 00:00:00,Client Review with HH00010,Discussed managed account review and client goals.,No Response,Create opportunity,Active,ADV0001,HH00010,ACCT000025
CRM00000042,Email,2025-12-13 00:00:00,Email with HH00017,Prospecting activity for new household acquisition.,Interested,Send material,Active,ADV0001,HH00017,ACCT000049
CRM00000043,Follow-up,2024-04-18 00:00:00,Follow-up with HH00009,Client expressed interest in tax-aware investment approach.,Interested,Create opportunity,Active,ADV0001,HH00009,ACCT000022
CRM00000044,Email,2024-05-18 00:00:00,Email with HH00009,Discussed managed account review and client goals.,No Response,Schedule review,Active,ADV0001,HH00009,ACCT000023
CRM00000045,Prospecting,2024-11-23 00:00:00,Prospecting with HH00014,Prospecting activity for new household acquisition.,Interested,Send material,Active,ADV0001,HH00014,ACCT000037
CRM00000046,Call,2024-02-20 00:00:00,Call with HH00016,Reviewed retirement income needs and cash balance.,Scheduled Follow-up,Discuss with manager,Active,ADV0001,HH00016,ACCT000045
CRM00000047,Task,2025-12-11 00:00:00,Task with HH00002,Client expressed interest in tax-aware investment approach.,Interested,No action,Active,ADV0001,HH00002,ACCT000004
CRM00000048,Note,2023-07-24 00:00:00,Note with HH00002,No recent engagement; requires proactive outreach.,Interested,No action,Active,ADV0001,HH00002,ACCT000004
CRM00000049,Call,2023-12-15 00:00:00,Call with HH00010,Prospecting activity for new household acquisition.,Not Interested,No action,Active,ADV0001,HH00010,ACCT000024
CRM00000050,Client Review,2023-05-15 00:00:00,Client Review with HH00001,Follow-up required on fixed income allocation.,Scheduled Follow-up,Create opportunity,Active,ADV0001,HH00001,ACCT000003
CRM00000051,Task,2023-06-15 00:00:00,Task with HH00009,Reviewed retirement income needs and cash balance.,Interested,Schedule review,Active,ADV0001,HH00009,ACCT000023
CRM00000052,Prospecting,2025-12-17 00:00:00,Prospecting with HH00001,Reviewed retirement income needs and cash balance.,Scheduled Follow-up,No action,Active,ADV0001,HH00001,ACCT000002
CRM00000053,Call,2024-06-25 00:00:00,Call with HH00015,Follow-up required on fixed income allocation.,Scheduled Follow-up,Schedule review,Active,ADV0001,HH00015,ACCT000042
CRM00000054,Email,2024-03-09 00:00:00,Email with HH00001,Client expressed interest in tax-aware investment approach.,Not Interested,Discuss with manager,Active,ADV0001,HH00001,ACCT000001
CRM00000055,Email,2024-10-11 00:00:00,Email with HH00001,Client expressed interest in tax-aware investment approach.,Not Interested,Discuss with manager,Active,ADV0001,HH00001,ACCT000002
CRM00000056,Call,2023-08-08 00:00:00,Call with HH00013,Prospecting activity for new household acquisition.,Not Interested,Create opportunity,Active,ADV0001,HH00013,ACCT000033
CRM00000057,Prospecting,2024-07-04 00:00:00,Prospecting with HH00016,No recent engagement; requires proactive outreach.,Not Interested,Create opportunity,Active,ADV0001,HH00016,ACCT000046
CRM00000058,Email,2025-02-03 00:00:00,Email with HH00017,Client expressed interest in tax-aware investment approach.,Completed,Send material,Active,ADV0001,HH00017,ACCT000051
CRM00000059,Client Review,2023-02-06 00:00:00,Client Review with HH00002,No recent engagement; requires proactive outreach.,Scheduled Follow-up,No action,Active,ADV0001,HH00002,ACCT000004
CRM00000060,Client Review,2025-03-17 00:00:00,Client Review with HH00016,Discussed managed account review and client goals.,Completed,No action,Active,ADV0001,HH00016,ACCT000046
CRM00000061,Follow-up,2025-02-01 00:00:00,Follow-up with HH00014,Prospecting activity for new household acquisition.,Interested,Create opportunity,Active,ADV0001,HH00014,ACCT000040
CRM00000062,Email,2023-09-02 00:00:00,Email with HH00002,Discussed managed account review and client goals.,Interested,Create opportunity,Active,ADV0001,HH00002,ACCT000005
CRM00000063,Client Review,2025-02-07 00:00:00,Client Review with HH00013,Reviewed retirement income needs and cash balance.,No Response,Create opportunity,Active,ADV0001,HH00013,ACCT000036
CRM00000064,Call,2023-01-07 00:00:00,Call with HH00001,Discussed managed account review and client goals.,Scheduled Follow-up,Discuss with manager,Active,ADV0001,HH00001,ACCT000002
CRM00000065,Meeting,2024-04-23 00:00:00,Meeting with HH00007,Discussed managed account review and client goals.,Interested,Schedule review,Active,ADV0001,HH00007,ACCT000018
CRM00000066,Note,2024-03-05 00:00:00,Note with HH00004,Discussed managed account review and client goals.,Scheduled Follow-up,Send material,Active,ADV0001,HH00004,ACCT000010
CRM00000067,Task,2023-03-11 00:00:00,Task with HH00012,Discussed managed account review and client goals.,Completed,Schedule review,Active,ADV0001,HH00012,ACCT000032
CRM00000068,Note,2023-03-12 00:00:00,Note with HH00005,No recent engagement; requires proactive outreach.,No Response,Send material,Active,ADV0001,HH00005,ACCT000014
CRM00000069,Task,2023-06-25 00:00:00,Task with HH00007,Reviewed retirement income needs and cash balance.,Not Interested,Discuss with manager,Active,ADV0001,HH00007,ACCT000018
CRM00000070,Task,2023-02-24 00:00:00,Task with HH00025,No recent engagement; requires proactive outreach.,Scheduled Follow-up,Send material,Active,ADV0002,HH00025,ACCT000076
CRM00000071,Note,2023-08-21 00:00:00,Note with HH00030,Follow-up required on fixed income allocation.,Not Interested,Schedule review,Active,ADV0002,HH00030,ACCT000090
CRM00000072,Follow-up,2023-04-07 00:00:00,Follow-up with HH00025,Discussed managed account review and client goals.,Scheduled Follow-up,No action,Active,ADV0002,HH00025,ACCT000076
CRM00000073,Note,2024-01-06 00:00:00,Note with HH00027,Prospecting activity for new household acquisition.,Not Interested,Send material,Active,ADV0002,HH00027,ACCT000080
CRM00000074,Follow-up,2023-09-09 00:00:00,Follow-up with HH00029,Prospecting activity for new household acquisition.,Interested,Send material,Active,ADV0002,HH00029,ACCT000086
CRM00000075,Client Review,2023-10-22 00:00:00,Client Review with HH00030,Client expressed interest in tax-aware investment approach.,Interested,No action,Active,ADV0002,HH00030,ACCT000089
CRM00000076,Client Review,2025-09-02 00:00:00,Client Review with HH00035,Follow-up required on fixed income allocation.,Interested,Send material,Active,ADV0002,HH00035,ACCT000107
CRM00000077,Note,2024-03-13 00:00:00,Note with HH00030,No recent engagement; requires proactive outreach.,Completed,Send material,Active,ADV0002,HH00030,ACCT000090
CRM00000078,Call,2023-07-15 00:00:00,Call with HH00022,Discussed managed account review and client goals.,No Response,Schedule review,Active,ADV0002,HH00022,ACCT000066
CRM00000079,Call,2023-11-04 00:00:00,Call with HH00030,No recent engagement; requires proactive outreach.,Completed,No action,Active,ADV0002,HH00030,ACCT000089
CRM00000080,Call,2025-06-04 00:00:00,Call with HH00030,No recent engagement; requires proactive outreach.,No Response,Discuss with manager,Active,ADV0002,HH00030,ACCT000089
CRM00000081,Follow-up,2023-12-08 00:00:00,Follow-up with HH00024,Discussed managed account review and client goals.,Not Interested,Schedule review,Active,ADV0002,HH00024,ACCT000075
CRM00000082,Follow-up,2023-02-19 00:00:00,Follow-up with HH00032,Prospecting activity for new household acquisition.,Interested,Send material,Active,ADV0002,HH00032,ACCT000096
CRM00000083,Prospecting,2024-07-15 00:00:00,Prospecting with HH00026,Client expressed interest in tax-aware investment approach.,No Response,Schedule review,Active,ADV0002,HH00026,ACCT000079
CRM00000084,Task,2024-06-13 00:00:00,Task with HH00033,Follow-up required on fixed income allocation.,No Response,No action,Active,ADV0002,HH00033,ACCT000098
CRM00000085,Meeting,2023-12-26 00:00:00,Meeting with HH00023,Follow-up required on fixed income allocation.,Interested,Send material,Active,ADV0002,HH00023,ACCT000072
CRM00000086,Meeting,2025-03-25 00:00:00,Meeting with HH00035,Discussed managed account review and client goals.,Interested,Send material,Active,ADV0002,HH00035,ACCT000106
CRM00000087,Prospecting,2024-09-24 00:00:00,Prospecting with HH00033,Reviewed retirement income needs and cash balance.,No Response,Schedule review,Active,ADV0002,HH00033,ACCT000098
CRM00000088,Task,2024-05-25 00:00:00,Task with HH00022,Discussed managed account review and client goals.,Scheduled Follow-up,No action,Active,ADV0002,HH00022,ACCT000067
CRM00000089,Task,2024-06-23 00:00:00,Task with HH00028,Discussed managed account review and client goals.,Not Interested,Schedule review,Active,ADV0002,HH00028,ACCT000083
CRM00000090,Follow-up,2024-01-23 00:00:00,Follow-up with HH00031,No recent engagement; requires proactive outreach.,Scheduled Follow-up,Send material,Active,ADV0002,HH00031,ACCT000094
CRM00000091,Call,2025-05-06 00:00:00,Call with HH00035,Client expressed interest in tax-aware investment approach.,No Response,Discuss with manager,Active,ADV0002,HH00035,ACCT000104
CRM00000092,Call,2024-09-25 00:00:00,Call with HH00030,Discussed managed account review and client goals.,Completed,Send material,Active,ADV0002,HH00030,ACCT000090
CRM00000093,Note,2023-10-06 00:00:00,Note with HH00034,Discussed managed account review and client goals.,Scheduled Follow-up,Send material,Active,ADV0002,HH00034,ACCT000102
CRM00000094,Follow-up,2024-12-25 00:00:00,Follow-up with HH00032,Prospecting activity for new household acquisition.,Scheduled Follow-up,Schedule review,Active,ADV0002,HH00032,ACCT000097
CRM00000095,Note,2023-10-24 00:00:00,Note with HH00025,Client expressed interest in tax-aware investment approach.,No Response,Discuss with manager,Active,ADV0002,HH00025,ACCT000077
CRM00000096,Email,2025-07-22 00:00:00,Email with HH00033,No recent engagement; requires proactive outreach.,Not Interested,Create opportunity,Active,ADV0002,HH00033,ACCT000098
CRM00000097,Task,2023-03-26 00:00:00,Task with HH00020,Reviewed retirement income needs and cash balance.,Interested,Create opportunity,Active,ADV0002,HH00020,ACCT000059
CRM00000098,Call,2025-07-23 00:00:00,Call with HH00022,No recent engagement; requires proactive outreach.,No Response,Discuss with manager,Active,ADV0002,HH00022,ACCT000067
CRM00000099,Meeting,2024-02-05 00:00:00,Meeting with HH00022,No recent engagement; requires proactive outreach.,Completed,Send material,Active,ADV0002,HH00022,ACCT000066
CRM00000100,Meeting,2025-09-18 00:00:00,Meeting with HH00020,Prospecting activity for new household acquisition.,Not Interested,No action,Active,ADV0002,HH00020,ACCT000059
CRM00000101,Client Review,2024-09-12 00:00:00,Client Review with HH00026,Discussed managed account review and client goals.,Completed,Send material,Active,ADV0002,HH00026,ACCT000078
CRM00000102,Follow-up,2023-12-02 00:00:00,Follow-up with HH00029,Discussed managed account review and client goals.,Scheduled Follow-up,Discuss with manager,Active,ADV0002,HH00029,ACCT000086
CRM00000103,Client Review,2023-08-25 00:00:00,Client Review with HH00026,No recent engagement; requires proactive outreach.,Not Interested,Create opportunity,Active,ADV0002,HH00026,ACCT000079
CRM00000104,Task,2024-01-14 00:00:00,Task with HH00026,No recent engagement; requires proactive outreach.,Interested,Send material,Active,ADV0002,HH00026,ACCT000078
CRM00000105,Note,2024-03-08 00:00:00,Note with HH00024,Discussed managed account review and client goals.,Scheduled Follow-up,Create opportunity,Active,ADV0002,HH00024,ACCT000074
CRM00000106,Client Review,2023-11-21 00:00:00,Client Review with HH00034,No recent engagement; requires proactive outreach.,Completed,Create opportunity,Active,ADV0002,HH00034,ACCT000102
CRM00000107,Prospecting,2023-05-02 00:00:00,Prospecting with HH00028,Discussed managed account review and client goals.,No Response,Schedule review,Active,ADV0002,HH00028,ACCT000085
CRM00000108,Meeting,2024-07-18 00:00:00,Meeting with HH00023,Follow-up required on fixed income allocation.,Interested,No action,Active,ADV0002,HH00023,ACCT000069
CRM00000109,Task,2025-04-17 00:00:00,Task with HH00024,Reviewed retirement income needs and cash balance.,Scheduled Follow-up,Schedule review,Active,ADV0002,HH00024,ACCT000074
CRM00000110,Note,2025-07-15 00:00:00,Note with HH00030,Discussed managed account review and client goals.,Not Interested,Send material,Active,ADV0002,HH00030,ACCT000090
CRM00000111,Meeting,2025-05-21 00:00:00,Meeting with HH00023,Discussed managed account review and client goals.,Scheduled Follow-up,Send material,Active,ADV0002,HH00023,ACCT000071
CRM00000112,Email,2024-05-05 00:00:00,Email with HH00023,Prospecting activity for new household acquisition.,Scheduled Follow-up,Send material,Active,ADV0002,HH00023,ACCT000071
CRM00000113,Task,2023-04-20 00:00:00,Task with HH00022,Discussed managed account review and client goals.,Scheduled Follow-up,Schedule review,Active,ADV0002,HH00022,ACCT000066
CRM00000114,Task,2024-03-13 00:00:00,Task with HH00019,Client expressed interest in tax-aware investment approach.,Scheduled Follow-up,No action,Active,ADV0002,HH00019,ACCT000058
CRM00000115,Client Review,2025-12-01 00:00:00,Client Review with HH00023,Follow-up required on fixed income allocation.,Not Interested,Discuss with manager,Active,ADV0002,HH00023,ACCT000072
CRM00000116,Follow-up,2024-06-19 00:00:00,Follow-up with HH00022,Discussed managed account review and client goals.,Interested,Send material,Active,ADV0002,HH00022,ACCT000068
CRM00000117,Note,2024-06-03 00:00:00,Note with HH00024,Reviewed retirement income needs and cash balance.,Scheduled Follow-up,Send material,Active,ADV0002,HH00024,ACCT000075
CRM00000118,Follow-up,2023-01-24 00:00:00,Follow-up with HH00033,Client expressed interest in tax-aware investment approach.,Scheduled Follow-up,Schedule review,Active,ADV0002,HH00033,ACCT000099
CRM00000119,Client Review,2023-11-05 00:00:00,Client Review with HH00035,No recent engagement; requires proactive outreach.,Completed,Create opportunity,Active,ADV0002,HH00035,ACCT000105
CRM00000120,Call,2025-04-18 00:00:00,Call with HH00022,No recent engagement; requires proactive outreach.,Completed,Schedule review,Active,ADV0002,HH00022,ACCT000068
CRM00000121,Follow-up,2025-04-09 00:00:00,Follow-up with HH00024,Discussed managed account review and client goals.,No Response,No action,Active,ADV0002,HH00024,ACCT000074
CRM00000122,Task,2025-01-09 00:00:00,Task with HH00025,Discussed managed account review and client goals.,Completed,No action,Active,ADV0002,HH00025,ACCT000077
CRM00000123,Email,2024-08-05 00:00:00,Email with HH00030,No recent engagement; requires proactive outreach.,Not Interested,Create opportunity,Active,ADV0002,HH00030,ACCT000089
CRM00000124,Email,2023-01-26 00:00:00,Email with HH00034,Client expressed interest in tax-aware investment approach.,No Response,Send material,Active,ADV0002,HH00034,ACCT000102
CRM00000125,Meeting,2025-10-21 00:00:00,Meeting with HH00023,Prospecting activity for new household acquisition.,Interested,Schedule review,Active,ADV0002,HH00023,ACCT000072
CRM00000126,Email,2025-07-06 00:00:00,Email with HH00030,Client expressed interest in tax-aware investment approach.,No Response,No action,Active,ADV0002,HH00030,ACCT000090
CRM00000127,Follow-up,2024-01-04 00:00:00,Follow-up with HH00025,Prospecting activity for new household acquisition.,Interested,Schedule review,Active,ADV0002,HH00025,ACCT000076
CRM00000128,Prospecting,2023-06-01 00:00:00,Prospecting with HH00035,Reviewed retirement income needs and cash balance.,Interested,Schedule review,Active,ADV0002,HH00035,ACCT000104
CRM00000129,Note,2024-06-19 00:00:00,Note with HH00028,Client expressed interest in tax-aware investment approach.,Interested,Send material,Active,ADV0002,HH00028,ACCT000084
CRM00000130,Call,2024-07-19 00:00:00,Call with HH00025,Discussed managed account review and client goals.,Completed,Schedule review,Active,ADV0002,HH00025,ACCT000077
CRM00000131,Task,2025-12-21 00:00:00,Task with HH00021,No recent engagement; requires proactive outreach.,Interested,No action,Active,ADV0002,HH00021,ACCT000062
CRM00000132,Task,2025-10-26 00:00:00,Task with HH00028,Client expressed interest in tax-aware investment approach.,Completed,Send material,Active,ADV0002,HH00028,ACCT000085
CRM00000133,Task,2024-07-01 00:00:00,Task with HH00035,Discussed managed account review and client goals.,Not Interested,Send material,Active,ADV0002,HH00035,ACCT000107
CRM00000134,Meeting,2024-07-16 00:00:00,Meeting with HH00029,Prospecting activity for new household acquisition.,No Response,Schedule review,Active,ADV0002,HH00029,ACCT000088
CRM00000135,Client Review,2023-08-08 00:00:00,Client Review with HH00048,Prospecting activity for new household acquisition.,Not Interested,No action,Active,ADV0003,HH00048,ACCT000145
CRM00000136,Task,2023-08-05 00:00:00,Task with HH00051,Discussed managed account review and client goals.,No Response,No action,Active,ADV0003,HH00051,ACCT000153
CRM00000137,Follow-up,2023-03-16 00:00:00,Follow-up with HH00048,Client expressed interest in tax-aware investment approach.,Scheduled Follow-up,Discuss with manager,Active,ADV0003,HH00048,ACCT000145
CRM00000138,Call,2025-02-03 00:00:00,Call with HH00046,Client expressed interest in tax-aware investment approach.,Completed,Schedule review,Active,ADV0003,HH00046,ACCT000140
CRM00000139,Follow-up,2024-02-20 00:00:00,Follow-up with HH00049,No recent engagement; requires proactive outreach.,Interested,Create opportunity,Active,ADV0003,HH00049,ACCT000147
CRM00000140,Note,2025-12-17 00:00:00,Note with HH00051,Reviewed retirement income needs and cash balance.,Not Interested,Create opportunity,Active,ADV0003,HH00051,ACCT000153
CRM00000141,Call,2024-01-14 00:00:00,Call with HH00037,Client expressed interest in tax-aware investment approach.,Not Interested,Discuss with manager,Active,ADV0003,HH00037,ACCT000110
CRM00000142,Meeting,2025-04-25 00:00:00,Meeting with HH00045,Reviewed retirement income needs and cash balance.,No Response,Send material,Active,ADV0003,HH00045,ACCT000135
CRM00000143,Client Review,2025-11-07 00:00:00,Client Review with HH00042,Prospecting activity for new household acquisition.,Interested,Send material,Active,ADV0003,HH00042,ACCT000127
CRM00000144,Email,2023-04-04 00:00:00,Email with HH00045,Client expressed interest in tax-aware investment approach.,No Response,Discuss with manager,Active,ADV0003,HH00045,ACCT000135
CRM00000145,Task,2025-01-02 00:00:00,Task with HH00043,Reviewed retirement income needs and cash balance.,Completed,Discuss with manager,Active,ADV0003,HH00043,ACCT000128
CRM00000146,Email,2025-05-03 00:00:00,Email with HH00039,No recent engagement; requires proactive outreach.,Scheduled Follow-up,Send material,Active,ADV0003,HH00039,ACCT000117
CRM00000147,Email,2025-08-07 00:00:00,Email with HH00046,Discussed managed account review and client goals.,No Response,Discuss with manager,Active,ADV0003,HH00046,ACCT000139
CRM00000148,Call,2024-10-11 00:00:00,Call with HH00041,Follow-up required on fixed income allocation.,Interested,Schedule review,Active,ADV0003,HH00041,ACCT000123
CRM00000149,Prospecting,2023-08-17 00:00:00,Prospecting with HH00047,Follow-up required on fixed income allocation.,Completed,Discuss with manager,Active,ADV0003,HH00047,ACCT000143
CRM00000150,Note,2023-05-11 00:00:00,Note with HH00043,Follow-up required on fixed income allocation.,Completed,Schedule review,Active,ADV0003,HH00043,ACCT000130
CRM00000151,Call,2023-01-12 00:00:00,Call with HH00040,No recent engagement; requires proactive outreach.,No Response,Schedule review,Active,ADV0003,HH00040,ACCT000119
CRM00000152,Client Review,2024-09-10 00:00:00,Client Review with HH00036,Client expressed interest in tax-aware investment approach.,No Response,Create opportunity,Active,ADV0003,HH00036,ACCT000108
CRM00000153,Prospecting,2025-06-08 00:00:00,Prospecting with HH00046,Prospecting activity for new household acquisition.,Completed,Create opportunity,Active,ADV0003,HH00046,ACCT000139
CRM00000154,Call,2024-05-15 00:00:00,Call with HH00046,Reviewed retirement income needs and cash balance.,Interested,Discuss with manager,Active,ADV0003,HH00046,ACCT000139
CRM00000155,Call,2024-03-17 00:00:00,Call with HH00049,No recent engagement; requires proactive outreach.,Completed,Discuss with manager,Active,ADV0003,HH00049,ACCT000146
CRM00000156,Task,2023-06-14 00:00:00,Task with HH00040,Follow-up required on fixed income allocation.,Not Interested,Schedule review,Active,ADV0003,HH00040,ACCT000120
CRM00000157,Email,2023-02-17 00:00:00,Email with HH00050,Reviewed retirement income needs and cash balance.,No Response,Create opportunity,Active,ADV0003,HH00050,ACCT000150
CRM00000158,Note,2024-08-02 00:00:00,Note with HH00043,Discussed managed account review and client goals.,Not Interested,No action,Active,ADV0003,HH00043,ACCT000130
CRM00000159,Call,2024-11-01 00:00:00,Call with HH00043,No recent engagement; requires proactive outreach.,Scheduled Follow-up,Schedule review,Active,ADV0003,HH00043,ACCT000130
CRM00000160,Client Review,2024-10-15 00:00:00,Client Review with HH00049,Prospecting activity for new household acquisition.,Completed,Schedule review,Active,ADV0003,HH00049,ACCT000147
CRM00000161,Note,2023-02-12 00:00:00,Note with HH00046,Reviewed retirement income needs and cash balance.,Not Interested,Schedule review,Active,ADV0003,HH00046,ACCT000139
CRM00000162,Follow-up,2024-11-01 00:00:00,Follow-up with HH00046,Discussed managed account review and client goals.,Interested,Create opportunity,Active,ADV0003,HH00046,ACCT000139
CRM00000163,Client Review,2025-11-15 00:00:00,Client Review with HH00043,Prospecting activity for new household acquisition.,Completed,Schedule review,Active,ADV0003,HH00043,ACCT000129
CRM00000164,Note,2025-08-08 00:00:00,Note with HH00051,Discussed managed account review and client goals.,Scheduled Follow-up,No action,Active,ADV0003,HH00051,ACCT000153
CRM00000165,Task,2023-10-02 00:00:00,Task with HH00037,Client expressed interest in tax-aware investment approach.,Not Interested,No action,Active,ADV0003,HH00037,ACCT000111
CRM00000166,Client Review,2024-04-20 00:00:00,Client Review with HH00039,Follow-up required on fixed income allocation.,No Response,Send material,Active,ADV0003,HH00039,ACCT000116
CRM00000167,Prospecting,2024-02-22 00:00:00,Prospecting with HH00050,No recent engagement; requires proactive outreach.,Completed,Create opportunity,Active,ADV0003,HH00050,ACCT000150
CRM00000168,Task,2025-09-25 00:00:00,Task with HH00037,Reviewed retirement income needs and cash balance.,Not Interested,Discuss with manager,Active,ADV0003,HH00037,ACCT000111
CRM00000169,Client Review,2025-01-22 00:00:00,Client Review with HH00037,Client expressed interest in tax-aware investment approach.,Interested,No action,Active,ADV0003,HH00037,ACCT000112
