recommendation_id,recommendation_type,title,action_text,score,confidence,status,created_ts,updated_ts,advisor_id,household_id,opportunity_id,prediction_id,playbook_id
REC00000015,NNM Growth,Recommended action: NNM Growth,Schedule a managed account review meeting.,0.6277,0.8627,ignored,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0005,HH00077,OPP00000015,PRED00000019,PB001
REC00000016,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Contact households with declining NCF.,0.9605,0.7015,rejected,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0005,HH00075,OPP00000016,PRED00000020,PB002
REC00000017,Managed Account Expansion,Recommended action: Managed Account Expansion,Review high cash balance households.,0.5806,0.9347,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0006,HH00094,OPP00000017,PRED00000021,PB001
REC00000018,CRM Engagement Gap,Recommended action: CRM Engagement Gap,Review high cash balance households.,0.7907,0.8596,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0006,HH00095,OPP00000018,PRED00000022,PB002
REC00000019,CRM Engagement Gap,Recommended action: CRM Engagement Gap,Increase prospecting activity for AGP goals.,0.7423,0.9128,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0006,HH00085,OPP00000019,PRED00000024,PB001
REC00000020,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Schedule a managed account review meeting.,0.9113,0.7116,ignored,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0006,HH00087,OPP00000020,PRED00000022,PB002
REC00000021,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Apply best-practice playbook for advisor growth.,0.9757,0.7804,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0007,HH00097,OPP00000021,PRED00000026,PB002
REC00000022,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Apply best-practice playbook for advisor growth.,0.8499,0.8838,ignored,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0007,HH00102,OPP00000022,PRED00000028,PB003
REC00000023,Managed Account Expansion,Recommended action: Managed Account Expansion,Contact households with declining NCF.,0.5171,0.8375,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0007,HH00105,OPP00000023,PRED00000025,PB002
REC00000024,Managed Account Expansion,Recommended action: Managed Account Expansion,Increase prospecting activity for AGP goals.,0.7627,0.7103,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0007,HH00108,OPP00000024,PRED00000026,PB003
REC00000025,AUM Retention,Recommended action: AUM Retention,Increase prospecting activity for AGP goals.,0.9078,0.9058,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0008,HH00121,OPP00000025,PRED00000032,PB003
REC00000026,Managed Account Expansion,Recommended action: Managed Account Expansion,Apply best-practice playbook for advisor growth.,0.636,0.7932,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0008,HH00117,OPP00000026,PRED00000030,PB003
REC00000027,CRM Engagement Gap,Recommended action: CRM Engagement Gap,Apply best-practice playbook for advisor growth.,0.5152,0.6692,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0008,HH00114,OPP00000027,PRED00000031,PB001
REC00000028,AUM Retention,Recommended action: AUM Retention,Schedule a managed account review meeting.,0.5554,0.6999,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0009,HH00141,OPP00000028,PRED00000035,PB002
REC00000029,CRM Engagement Gap,Recommended action: CRM Engagement Gap,Contact households with declining NCF.,0.5553,0.7832,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0009,HH00131,OPP00000029,PRED00000033,PB001
REC00000030,AUM Retention,Recommended action: AUM Retention,Contact households with declining NCF.,0.9349,0.6927,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0009,HH00135,OPP00000030,PRED00000034,PB001
REC00000031,Managed Account Expansion,Recommended action: Managed Account Expansion,Increase prospecting activity for AGP goals.,0.9404,0.6914,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0009,HH00140,OPP00000031,PRED00000034,PB003
REC00000032,AUM Retention,Recommended action: AUM Retention,Schedule a managed account review meeting.,0.5544,0.8044,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0010,HH00148,OPP00000032,PRED00000040,PB003
REC00000033,NNM Growth,Recommended action: NNM Growth,Schedule a managed account review meeting.,0.8605,0.698,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0010,HH00153,OPP00000033,PRED00000038,PB003
REC00000034,CRM Engagement Gap,Recommended action: CRM Engagement Gap,Schedule a managed account review meeting.,0.5598,0.763,ignored,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0010,HH00150,OPP00000034,PRED00000037,PB001
REC00000035,AUM Retention,Recommended action: AUM Retention,Schedule a managed account review meeting.,0.7804,0.6613,ignored,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0011,HH00163,OPP00000035,PRED00000043,PB001
REC00000036,CRM Engagement Gap,Recommended action: CRM Engagement Gap,Review high cash balance households.,0.605,0.8281,ignored,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0011,HH00171,OPP00000036,PRED00000043,PB003
REC00000037,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Contact households with declining NCF.,0.523,0.8024,rejected,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0011,HH00172,OPP00000037,PRED00000043,PB003
REC00000038,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Schedule a managed account review meeting.,0.7058,0.849,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0011,HH00169,OPP00000038,PRED00000043,PB002
REC00000039,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Apply best-practice playbook for advisor growth.,0.9457,0.6589,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0012,HH00175,OPP00000039,PRED00000048,PB002
REC00000040,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Contact households with declining NCF.,0.9348,0.7286,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0012,HH00179,OPP00000040,PRED00000048,PB001
REC00000041,CRM Engagement Gap,Recommended action: CRM Engagement Gap,Apply best-practice playbook for advisor growth.,0.5634,0.9465,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0012,HH00176,OPP00000041,PRED00000048,PB003
REC00000042,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Apply best-practice playbook for advisor growth.,0.8536,0.8822,rejected,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0013,HH00203,OPP00000042,PRED00000050,PB003
REC00000043,Managed Account Expansion,Recommended action: Managed Account Expansion,Schedule a managed account review meeting.,0.9398,0.7727,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0013,HH00191,OPP00000043,PRED00000052,PB002
REC00000044,NNM Growth,Recommended action: NNM Growth,Increase prospecting activity for AGP goals.,0.7752,0.6611,rejected,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0014,HH00208,OPP00000044,PRED00000055,PB001
REC00000045,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Contact households with declining NCF.,0.6485,0.7213,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0014,HH00212,OPP00000045,PRED00000055,PB002
REC00000046,Managed Account Expansion,Recommended action: Managed Account Expansion,Increase prospecting activity for AGP goals.,0.5084,0.7458,rejected,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0015,HH00226,OPP00000046,PRED00000058,PB003
REC00000047,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Review high cash balance households.,0.7869,0.7322,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0015,HH00219,OPP00000047,PRED00000060,PB003
REC00000048,AUM Retention,Recommended action: AUM Retention,Schedule a managed account review meeting.,0.8209,0.8442,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0015,HH00220,OPP00000048,PRED00000057,PB002
REC00000049,Managed Account Expansion,Recommended action: Managed Account Expansion,Schedule a managed account review meeting.,0.8271,0.6916,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0016,HH00236,OPP00000049,PRED00000061,PB003
REC00000050,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Schedule a managed account review meeting.,0.543,0.6543,rejected,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0016,HH00239,OPP00000050,PRED00000062,PB003
REC00000051,Managed Account Expansion,Recommended action: Managed Account Expansion,Apply best-practice playbook for advisor growth.,0.8734,0.7228,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0016,HH00237,OPP00000051,PRED00000063,PB001
REC00000052,AUM Retention,Recommended action: AUM Retention,Apply best-practice playbook for advisor growth.,0.7891,0.9058,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0017,HH00246,OPP00000052,PRED00000065,PB001
REC00000053,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Increase prospecting activity for AGP goals.,0.7383,0.7808,rejected,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0017,HH00244,OPP00000053,PRED00000068,PB002
REC00000054,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Schedule a managed account review meeting.,0.8216,0.8149,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0018,HH00259,OPP00000054,PRED00000071,PB002
REC00000055,CRM Engagement Gap,Recommended action: CRM Engagement Gap,Schedule a managed account review meeting.,0.6419,0.7013,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0018,HH00265,OPP00000055,PRED00000072,PB001
REC00000056,AUM Retention,Recommended action: AUM Retention,Review high cash balance households.,0.8996,0.9033,ignored,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0018,HH00264,OPP00000056,PRED00000071,PB001
REC00000057,CRM Engagement Gap,Recommended action: CRM Engagement Gap,Increase prospecting activity for AGP goals.,0.6628,0.8766,ignored,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0018,HH00261,OPP00000057,PRED00000070,PB003
REC00000058,AUM Retention,Recommended action: AUM Retention,Schedule a managed account review meeting.,0.9621,0.7663,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0019,HH00275,OPP00000058,PRED00000074,PB003
REC00000059,CRM Engagement Gap,Recommended action: CRM Engagement Gap,Increase prospecting activity for AGP goals.,0.9358,0.6587,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0019,HH00277,OPP00000059,PRED00000075,PB002
REC00000060,NNM Growth,Recommended action: NNM Growth,Contact households with declining NCF.,0.5314,0.9405,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0020,HH00293,OPP00000060,PRED00000079,PB002
REC00000061,AUM Retention,Recommended action: AUM Retention,Schedule a managed account review meeting.,0.7699,0.871,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0020,HH00286,OPP00000061,PRED00000078,PB002
REC00000062,AUM Retention,Recommended action: AUM Retention,Schedule a managed account review meeting.,0.738,0.7415,ignored,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0020,HH00292,OPP00000062,PRED00000078,PB003
REC00000063,NNM Growth,Recommended action: NNM Growth,Review high cash balance households.,0.6869,0.8616,ignored,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0020,HH00295,OPP00000063,PRED00000078,PB001
REC00000064,NNM Growth,Recommended action: NNM Growth,Contact households with declining NCF.,0.8916,0.6609,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0021,HH00300,OPP00000064,PRED00000083,PB001
REC00000065,NNM Growth,Recommended action: NNM Growth,Schedule a managed account review meeting.,0.9096,0.8947,rejected,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0021,HH00312,OPP00000065,PRED00000082,PB002
REC00000066,NNM Growth,Recommended action: NNM Growth,Apply best-practice playbook for advisor growth.,0.5972,0.797,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0021,HH00300,OPP00000066,PRED00000082,PB002
REC00000067,Managed Account Expansion,Recommended action: Managed Account Expansion,Apply best-practice playbook for advisor growth.,0.7949,0.925,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0021,HH00301,OPP00000067,PRED00000082,PB003
REC00000068,NNM Growth,Recommended action: NNM Growth,Apply best-practice playbook for advisor growth.,0.8602,0.8327,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0022,HH00318,OPP00000068,PRED00000087,PB001
REC00000069,Managed Account Expansion,Recommended action: Managed Account Expansion,Increase prospecting activity for AGP goals.,0.8385,0.9269,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0022,HH00313,OPP00000069,PRED00000087,PB003
REC00000070,Managed Account Expansion,Recommended action: Managed Account Expansion,Increase prospecting activity for AGP goals.,0.8599,0.7988,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0023,HH00333,OPP00000070,PRED00000090,PB003
REC00000071,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Apply best-practice playbook for advisor growth.,0.9333,0.7434,ignored,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0023,HH00333,OPP00000071,PRED00000090,PB003
REC00000072,Managed Account Expansion,Recommended action: Managed Account Expansion,Increase prospecting activity for AGP goals.,0.5643,0.6918,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0024,HH00343,OPP00000072,PRED00000096,PB003
REC00000073,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Apply best-practice playbook for advisor growth.,0.9732,0.6826,ignored,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0024,HH00344,OPP00000073,PRED00000095,PB001
REC00000074,CRM Engagement Gap,Recommended action: CRM Engagement Gap,Increase prospecting activity for AGP goals.,0.6388,0.8388,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0024,HH00348,OPP00000074,PRED00000095,PB003
REC00000075,CRM Engagement Gap,Recommended action: CRM Engagement Gap,Schedule a managed account review meeting.,0.6902,0.6816,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0024,HH00340,OPP00000075,PRED00000096,PB001
REC00000076,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Review high cash balance households.,0.541,0.7303,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0025,HH00359,OPP00000076,PRED00000100,PB001
REC00000077,AUM Retention,Recommended action: AUM Retention,Apply best-practice playbook for advisor growth.,0.9191,0.771,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0025,HH00361,OPP00000077,PRED00000098,PB003
REC00000078,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Apply best-practice playbook for advisor growth.,0.5637,0.7532,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0025,HH00361,OPP00000078,PRED00000098,PB002
REC00000079,AUM Retention,Recommended action: AUM Retention,Increase prospecting activity for AGP goals.,0.9711,0.7798,rejected,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0026,HH00370,OPP00000079,PRED00000102,PB003
REC00000080,NNM Growth,Recommended action: NNM Growth,Apply best-practice playbook for advisor growth.,0.8118,0.7277,rejected,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0026,HH00376,OPP00000080,PRED00000104,PB001
REC00000081,NNM Growth,Recommended action: NNM Growth,Contact households with declining NCF.,0.7276,0.7318,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0027,HH00384,OPP00000081,PRED00000108,PB002
REC00000082,Managed Account Expansion,Recommended action: Managed Account Expansion,Contact households with declining NCF.,0.5246,0.7519,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0027,HH00387,OPP00000082,PRED00000108,PB001
REC00000083,CRM Engagement Gap,Recommended action: CRM Engagement Gap,Schedule a managed account review meeting.,0.9485,0.7878,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0028,HH00403,OPP00000083,PRED00000112,PB003
REC00000084,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Contact households with declining NCF.,0.7294,0.811,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0028,HH00406,OPP00000084,PRED00000110,PB003
REC00000085,NNM Growth,Recommended action: NNM Growth,Schedule a managed account review meeting.,0.9392,0.7164,ignored,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0029,HH00421,OPP00000085,PRED00000116,PB003
REC00000086,CRM Engagement Gap,Recommended action: CRM Engagement Gap,Review high cash balance households.,0.8653,0.8579,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0029,HH00426,OPP00000086,PRED00000115,PB001
REC00000087,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Contact households with declining NCF.,0.5582,0.7796,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0029,HH00425,OPP00000087,PRED00000115,PB002
REC00000088,NNM Growth,Recommended action: NNM Growth,Schedule a managed account review meeting.,0.8732,0.7566,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0029,HH00414,OPP00000088,PRED00000116,PB002
REC00000089,NNM Growth,Recommended action: NNM Growth,Contact households with declining NCF.,0.7734,0.6652,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0030,HH00432,OPP00000089,PRED00000119,PB002
REC00000090,Managed Account Expansion,Recommended action: Managed Account Expansion,Schedule a managed account review meeting.,0.5101,0.7718,rejected,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0030,HH00431,OPP00000090,PRED00000119,PB002
REC00000091,NNM Growth,Recommended action: NNM Growth,Review high cash balance households.,0.7235,0.922,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0031,HH00451,OPP00000091,PRED00000122,PB001
REC00000092,NNM Growth,Recommended action: NNM Growth,Increase prospecting activity for AGP goals.,0.7221,0.9127,rejected,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0031,HH00449,OPP00000092,PRED00000121,PB003
REC00000093,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Contact households with declining NCF.,0.9409,0.7548,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0031,HH00450,OPP00000093,PRED00000124,PB003
REC00000094,NNM Growth,Recommended action: NNM Growth,Schedule a managed account review meeting.,0.8926,0.8521,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0031,HH00452,OPP00000094,PRED00000122,PB002
REC00000095,CRM Engagement Gap,Recommended action: CRM Engagement Gap,Apply best-practice playbook for advisor growth.,0.7535,0.6617,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0032,HH00466,OPP00000095,PRED00000128,PB001
REC00000096,NNM Growth,Recommended action: NNM Growth,Increase prospecting activity for AGP goals.,0.5407,0.9225,rejected,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0032,HH00456,OPP00000096,PRED00000125,PB002
REC00000097,NNM Growth,Recommended action: NNM Growth,Contact households with declining NCF.,0.8073,0.9079,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0032,HH00459,OPP00000097,PRED00000128,PB001
REC00000098,CRM Engagement Gap,Recommended action: CRM Engagement Gap,Review high cash balance households.,0.8578,0.7345,ignored,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0032,HH00455,OPP00000098,PRED00000126,PB002
REC00000099,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Review high cash balance households.,0.7542,0.7243,rejected,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0033,HH00479,OPP00000099,PRED00000129,PB002
REC00000100,AUM Retention,Recommended action: AUM Retention,Review high cash balance households.,0.6669,0.7825,ignored,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0033,HH00472,OPP00000100,PRED00000129,PB001
REC00000101,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Schedule a managed account review meeting.,0.5227,0.6923,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0034,HH00496,OPP00000101,PRED00000136,PB002
REC00000102,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Increase prospecting activity for AGP goals.,0.7009,0.7347,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0034,HH00491,OPP00000102,PRED00000135,PB003
REC00000103,CRM Engagement Gap,Recommended action: CRM Engagement Gap,Apply best-practice playbook for advisor growth.,0.8914,0.9085,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0034,HH00488,OPP00000103,PRED00000135,PB003
REC00000104,Managed Account Expansion,Recommended action: Managed Account Expansion,Review high cash balance households.,0.5135,0.6505,ignored,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0035,HH00500,OPP00000104,PRED00000138,PB001
REC00000105,Managed Account Expansion,Recommended action: Managed Account Expansion,Increase prospecting activity for AGP goals.,0.9736,0.8327,ignored,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0035,HH00503,OPP00000105,PRED00000139,PB002
REC00000106,Managed Account Expansion,Recommended action: Managed Account Expansion,Schedule a managed account review meeting.,0.7546,0.7282,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0035,HH00504,OPP00000106,PRED00000137,PB002
REC00000107,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Schedule a managed account review meeting.,0.7242,0.8751,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0035,HH00507,OPP00000107,PRED00000138,PB002
REC00000108,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Apply best-practice playbook for advisor growth.,0.5581,0.6975,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0036,HH00514,OPP00000108,PRED00000144,PB003
REC00000109,CRM Engagement Gap,Recommended action: CRM Engagement Gap,Contact households with declining NCF.,0.6559,0.7095,ignored,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0036,HH00513,OPP00000109,PRED00000143,PB001
REC00000110,AUM Retention,Recommended action: AUM Retention,Schedule a managed account review meeting.,0.6185,0.65,rejected,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0036,HH00514,OPP00000110,PRED00000143,PB001
REC00000111,Managed Account Expansion,Recommended action: Managed Account Expansion,Review high cash balance households.,0.9184,0.8869,rejected,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0037,HH00526,OPP00000111,PRED00000147,PB003
REC00000112,Managed Account Expansion,Recommended action: Managed Account Expansion,Increase prospecting activity for AGP goals.,0.5533,0.8009,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0037,HH00535,OPP00000112,PRED00000145,PB001
REC00000113,Managed Account Expansion,Recommended action: Managed Account Expansion,Review high cash balance households.,0.7242,0.6567,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0037,HH00530,OPP00000113,PRED00000148,PB002
REC00000114,AUM Retention,Recommended action: AUM Retention,Schedule a managed account review meeting.,0.7467,0.7291,completed,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0037,HH00533,OPP00000114,PRED00000148,PB001
REC00000115,CRM Engagement Gap,Recommended action: CRM Engagement Gap,Increase prospecting activity for AGP goals.,0.6553,0.7108,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0038,HH00547,OPP00000115,PRED00000149,PB003
REC00000116,AUM Retention,Recommended action: AUM Retention,Contact households with declining NCF.,0.637,0.7724,rejected,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0038,HH00542,OPP00000116,PRED00000151,PB003
REC00000117,Managed Account Expansion,Recommended action: Managed Account Expansion,Schedule a managed account review meeting.,0.7304,0.8278,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0039,HH00567,OPP00000117,PRED00000156,PB003
REC00000118,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Review high cash balance households.,0.5599,0.8617,generated,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0039,HH00563,OPP00000118,PRED00000153,PB002
REC00000119,Managed Account Expansion,Recommended action: Managed Account Expansion,Schedule a managed account review meeting.,0.6755,0.8366,ignored,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0039,HH00563,OPP00000119,PRED00000155,PB003
REC00000120,NNM Growth,Recommended action: NNM Growth,Schedule a managed account review meeting.,0.7469,0.8711,rejected,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0040,HH00578,OPP00000120,PRED00000159,PB003
REC00000121,AGP Goal Recovery,Recommended action: AGP Goal Recovery,Apply best-practice playbook for advisor growth.,0.8575,0.8315,ignored,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0040,HH00581,OPP00000121,PRED00000160,PB002
REC00000122,CRM Engagement Gap,Recommended action: CRM Engagement Gap,Review high cash balance households.,0.898,0.6937,accepted,2025-12-31 00:00:00,2025-12-31 00:00:00,ADV0040,HH00572,OPP00000122,PRED00000158,PB002
